case_study,session_id,group_local,group_global,method,score,rank
case_study_1,8,2,case_study_1_8_2,Copeland,6.0,2
case_study_1,8,2,case_study_1_8_2,Borda,92.0,2
case_study_1,8,2,case_study_1_8_2,Mean,4.142857142857143,6
case_study_1,8,2,case_study_1_8_2,Median,4.0,4
case_study_1,8,3,case_study_1_8_3,R2R_copeland,4.190476190476191,4
case_study_1,8,3,case_study_1_8_3,R2R_borda,4.561904761904762,5
case_study_1,8,3,case_study_1_8_3,Copeland,4.0,5
case_study_1,8,3,case_study_1_8_3,Borda,79.0,5
case_study_1,8,3,case_study_1_8_3,Mean,4.380952380952381,4
case_study_1,8,3,case_study_1_8_3,Median,4.0,4
case_study_1,8,4,case_study_1_8_4,R2R_copeland,5.0476190476190474,2
case_study_1,8,4,case_study_1_8_4,R2R_borda,5.161904761904762,2
case_study_1,8,4,case_study_1_8_4,Copeland,5.0,3
case_study_1,8,4,case_study_1_8_4,Borda,90.0,4
case_study_1,8,4,case_study_1_8_4,Mean,4.619047619047619,1
case_study_1,8,4,case_study_1_8_4,Median,5.0,1
case_study_1,8,5,case_study_1_8_5,R2R_copeland,5.0,3
case_study_1,8,5,case_study_1_8_5,R2R_borda,5.161904761904762,2
case_study_1,8,5,case_study_1_8_5,Copeland,5.0,3
case_study_1,8,5,case_study_1_8_5,Borda,92.0,2
case_study_1,8,5,case_study_1_8_5,Mean,4.476190476190476,3
case_study_1,8,5,case_study_1_8_5,Median,5.0,1
case_study_1,8,6,case_study_1_8_6,R2R_copeland,4.095238095238095,7
case_study_1,8,6,case_study_1_8_6,R2R_borda,4.457142857142857,8
case_study_1,8,6,case_study_1_8_6,Copeland,2.0,7
case_study_1,8,6,case_study_1_8_6,Borda,70.0,8
case_study_1,8,6,case_study_1_8_6,Mean,4.095238095238095,9
case_study_1,8,6,case_study_1_8_6,Median,4.0,4
case_study_1,8,7,case_study_1_8_7,R2R_copeland,5.095238095238095,1
case_study_1,8,7,case_study_1_8_7,R2R_borda,5.276190476190476,1
case_study_1,8,7,case_study_1_8_7,Copeland,8.0,1
case_study_1,8,7,case_study_1_8_7,Borda,129.0,1
case_study_1,8,7,case_study_1_8_7,Mean,4.619047619047619,1
case_study_1,8,7,case_study_1_8_7,Median,5.0,1
case_study_1,8,8,case_study_1_8_8,R2R_copeland,4.095238095238095,7
case_study_1,8,8,case_study_1_8_8,R2R_borda,4.495238095238095,7
case_study_1,8,8,case_study_1_8_8,Copeland,2.0,7
case_study_1,8,8,case_study_1_8_8,Borda,72.0,7
case_study_1,8,8,case_study_1_8_8,Mean,4.142857142857143,6
case_study_1,8,8,case_study_1_8_8,Median,4.0,4
case_study_1,8,9,case_study_1_8_9,R2R_copeland,4.0,9
case_study_1,8,9,case_study_1_8_9,R2R_borda,4.371428571428572,9
case_study_1,8,9,case_study_1_8_9,Copeland,0.0,9
case_study_1,8,9,case_study_1_8_9,Borda,58.0,9
case_study_1,8,9,case_study_1_8_9,Mean,4.142857142857143,6
case_study_1,8,9,case_study_1_8_9,Median,4.0,4
case_study_1,9,1,case_study_1_9_1,R2R_copeland,5.1165,1
case_study_1,9,1,case_study_1_9_1,R2R_borda,5.39,2
case_study_1,9,1,case_study_1_9_1,Copeland,7.33,1
case_study_1,9,1,case_study_1_9_1,Borda,130.0,2
case_study_1,9,1,case_study_1_9_1,Mean,4.85,1
case_study_1,9,1,case_study_1_9_1,Median,5.0,1
case_study_1,9,2,case_study_1_9_2,R2R_copeland,5.1165,1
case_study_1,9,2,case_study_1_9_2,R2R_borda,5.41,1
case_study_1,9,2,case_study_1_9_2,Copeland,7.33,1
case_study_1,9,2,case_study_1_9_2,Borda,131.0,1
case_study_1,9,2,case_study_1_9_2,Mean,4.8,2
case_study_1,9,2,case_study_1_9_2,Median,5.0,1
case_study_1,9,3,case_study_1_9_3,R2R_copeland,4.0,9
case_study_1,9,3,case_study_1_9_3,R2R_borda,4.24,9
case_study_1,9,3,case_study_1_9_3,Copeland,0.0,9
case_study_1,9,3,case_study_1_9_3,Borda,29.0,9
case_study_1,9,3,case_study_1_9_3,Mean,3.75,8
case_study_1,9,3,case_study_1_9_3,Median,4.0,5
case_study_1,9,4,case_study_1_9_4,R2R_copeland,4.1,7
case_study_1,9,4,case_study_1_9_4,R2R_borda,4.45,7
case_study_1,9,4,case_study_1_9_4,Copeland,2.0,7
case_study_1,9,4,case_study_1_9_4,Borda,59.0,7
case_study_1,9,4,case_study_1_9_4,Mean,3.95,7
case_study_1,9,4,case_study_1_9_4,Median,4.0,5
case_study_1,9,5,case_study_1_9_5,R2R_copeland,5.05,3
case_study_1,9,5,case_study_1_9_5,R2R_borda,5.2,3
case_study_1,9,5,case_study_1_9_5,Copeland,6.0,3
case_study_1,9,5,case_study_1_9_5,Borda,104.0,3
case_study_1,9,5,case_study_1_9_5,Mean,4.65,3
case_study_1,9,5,case_study_1_9_5,Median,5.0,1
case_study_1,9,6,case_study_1_9_6,R2R_copeland,5.0,4
case_study_1,9,6,case_study_1_9_6,R2R_borda,5.2,3
case_study_1,9,6,case_study_1_9_6,Copeland,5.0,4
case_study_1,9,6,case_study_1_9_6,Borda,91.0,4
case_study_1,9,6,case_study_1_9_6,Mean,4.55,4
case_study_1,9,6,case_study_1_9_6,Median,5.0,1
case_study_1,9,7,case_study_1_9_7,R2R_copeland,4.15,6
case_study_1,9,7,case_study_1_9_7,R2R_borda,4.46,6
case_study_1,9,7,case_study_1_9_7,Copeland,3.0,6
case_study_1,9,7,case_study_1_9_7,Borda,62.0,6
case_study_1,9,7,case_study_1_9_7,Mean,4.25,6
case_study_1,9,7,case_study_1_9_7,Median,4.0,5
case_study_1,9,8,case_study_1_9_8,R2R_copeland,4.2,5
case_study_1,9,8,case_study_1_9_8,R2R_borda,4.59,5
case_study_1,9,8,case_study_1_9_8,Copeland,4.0,5
case_study_1,9,8,case_study_1_9_8,Borda,79.0,5
case_study_1,9,8,case_study_1_9_8,Mean,4.3,5
case_study_1,9,8,case_study_1_9_8,Median,4.0,5
case_study_1,9,9,case_study_1_9_9,R2R_copeland,4.05,8
case_study_1,9,9,case_study_1_9_9,R2R_borda,4.26,8
case_study_1,9,9,case_study_1_9_9,Copeland,1.0,8
case_study_1,9,9,case_study_1_9_9,Borda,35.0,8
case_study_1,9,9,case_study_1_9_9,Mean,3.75,8
case_study_1,9,9,case_study_1_9_9,Median,4.0,5
case_study_1,10,1,case_study_1_10_1,R2R_copeland,4.681818181818182,3
case_study_1,10,1,case_study_1_10_1,R2R_borda,5.172727272727273,2
case_study_1,10,1,case_study_1_10_1,Copeland,6.0,4
case_study_1,10,1,case_study_1_10_1,Borda,119.0,3
case_study_1,10,1,case_study_1_10_1,Mean,4.409090909090909,2
case_study_1,10,1,case_study_1_10_1,Median,4.5,2
case_study_1,10,2,case_study_1_10_2,R2R_copeland,5.0,1
case_study_1,10,2,case_study_1_10_2,R2R_borda,5.0,3
case_study_1,10,2,case_study_1_10_2,Copeland,9.0,1
case_study_1,10,2,case_study_1_10_2,Borda,163.0,1
case_study_1,10,2,case_study_1_10_2,Mean,4.545454545454546,1
case_study_1,10,2,case_study_1_10_2,Median,5.0,1
case_study_1,10,3,case_study_1_10_3,R2R_copeland,3.0,10
case_study_1,10,3,case_study_1_10_3,R2R_borda,3.036363636363636,10
case_study_1,10,3,case_study_1_10_3,Copeland,0.0,10
case_study_1,10,3,case_study_1_10_3,Borda,30.0,10
case_study_1,10,3,case_study_1_10_3,Mean,3.1363636363636362,10
case_study_1,10,3,case_study_1_10_3,Median,3.0,9
case_study_1,10,4,case_study_1_10_4,R2R_copeland,3.0454545454545454,9
case_study_1,10,4,case_study_1_10_4,R2R_borda,3.1636363636363636,9
case_study_1,10,4,case_study_1_10_4,Copeland,1.0,9
case_study_1,10,4,case_study_1_10_4,Borda,56.0,9
case_study_1,10,4,case_study_1_10_4,Mean,3.3636363636363638,9
case_study_1,10,4,case_study_1_10_4,Median,3.0,9
case_study_1,10,5,case_study_1_10_5,R2R_copeland,4.242272727272727,4
case_study_1,10,5,case_study_1_10_5,R2R_borda,4.7,4
case_study_1,10,5,case_study_1_10_5,Copeland,7.33,2
case_study_1,10,5,case_study_1_10_5,Borda,119.0,3
case_study_1,10,5,case_study_1_10_5,Mean,4.2727272727272725,5
case_study_1,10,5,case_study_1_10_5,Median,4.0,4
case_study_1,10,6,case_study_1_10_6,R2R_copeland,4.181818181818182,5
case_study_1,10,6,case_study_1_10_6,R2R_borda,4.627272727272727,5
case_study_1,10,6,case_study_1_10_6,Copeland,6.0,4
case_study_1,10,6,case_study_1_10_6,Borda,114.0,5
case_study_1,10,6,case_study_1_10_6,Mean,4.363636363636363,3
case_study_1,10,6,case_study_1_10_6,Median,4.0,4
case_study_1,10,7,case_study_1_10_7,R2R_copeland,4.045454545454546,7
case_study_1,10,7,case_study_1_10_7,R2R_borda,4.472727272727273,8
case_study_1,10,7,case_study_1_10_7,Copeland,3.0,7
case_study_1,10,7,case_study_1_10_7,Borda,89.0,7
case_study_1,10,7,case_study_1_10_7,Mean,3.772727272727273,7
case_study_1,10,7,case_study_1_10_7,Median,4.0,4
case_study_1,10,8,case_study_1_10_8,R2R_copeland,4.696818181818182,2
case_study_1,10,8,case_study_1_10_8,R2R_borda,5.236363636363636,1
case_study_1,10,8,case_study_1_10_8,Copeland,6.33,3
case_study_1,10,8,case_study_1_10_8,Borda,123.0,2
case_study_1,10,8,case_study_1_10_8,Mean,4.363636363636363,3
case_study_1,10,8,case_study_1_10_8,Median,4.5,2
case_study_1,10,9,case_study_1_10_9,R2R_copeland,4.0,8
case_study_1,10,9,case_study_1_10_9,R2R_borda,4.4818181818181815,7
case_study_1,10,9,case_study_1_10_9,Copeland,2.0,8
case_study_1,10,9,case_study_1_10_9,Borda,83.0,8
case_study_1,10,9,case_study_1_10_9,Mean,3.6818181818181817,8
case_study_1,10,9,case_study_1_10_9,Median,4.0,4
case_study_1,10,10,case_study_1_10_10,R2R_copeland,4.090909090909091,6
case_study_1,10,10,case_study_1_10_10,R2R_borda,4.509090909090909,6
case_study_1,10,10,case_study_1_10_10,Copeland,4.0,6
case_study_1,10,10,case_study_1_10_10,Borda,94.0,6
case_study_1,10,10,case_study_1_10_10,Mean,4.2272727272727275,6
case_study_1,10,10,case_study_1_10_10,Median,4.0,4
case_study_2,11,1,case_study_2_11_1,R2R_copeland,4.0,7
case_study_2,11,1,case_study_2_11_1,R2R_borda,4.372727272727273,7
case_study_2,11,1,case_study_2_11_1,Copeland,2.0,7
case_study_2,11,1,case_study_2_11_1,Borda,80.0,7
case_study_2,11,1,case_study_2_11_1,Mean,4.181818181818182,4
case_study_2,11,1,case_study_2_11_1,Median,4.0,2
case_study_2,11,2,case_study_2_11_2,R2R_copeland,3.0,9
case_study_2,11,2,case_study_2_11_2,R2R_borda,3.0727272727272728,9
case_study_2,11,2,case_study_2_11_2,Copeland,0.0,9
case_study_2,11,2,case_study_2_11_2,Borda,18.0,9
case_study_2,11,2,case_study_2_11_2,Mean,3.227272727272727,9
case_study_2,11,2,case_study_2_11_2,Median,3.0,9
case_study_2,11,3,case_study_2_11_3,R2R_copeland,4.0604545454545455,6
case_study_2,11,3,case_study_2_11_3,R2R_borda,4.4363636363636365,6
case_study_2,11,3,case_study_2_11_3,Copeland,3.33,6
case_study_2,11,3,case_study_2_11_3,Borda,88.0,6
case_study_2,11,3,case_study_2_11_3,Mean,4.181818181818182,4
case_study_2,11,3,case_study_2_11_3,Median,4.0,2
case_study_2,11,4,case_study_2_11_4,R2R_copeland,4.090909090909091,5
case_study_2,11,4,case_study_2_11_4,R2R_borda,4.472727272727273,5
case_study_2,11,4,case_study_2_11_4,Copeland,4.0,5
case_study_2,11,4,case_study_2_11_4,Borda,96.0,5
case_study_2,11,4,case_study_2_11_4,Mean,4.318181818181818,3
case_study_2,11,4,case_study_2_11_4,Median,4.0,2
case_study_2,11,5,case_study_2_11_5,R2R_copeland,5.0,1
case_study_2,11,5,case_study_2_11_5,R2R_borda,5.0,1
case_study_2,11,5,case_study_2_11_5,Copeland,8.0,1
case_study_2,11,5,case_study_2_11_5,Borda,134.0,1
case_study_2,11,5,case_study_2_11_5,Mean,4.7272727272727275,1
case_study_2,11,5,case_study_2_11_5,Median,5.0,1
case_study_2,11,6,case_study_2_11_6,R2R_copeland,3.5454545454545454,8
case_study_2,11,6,case_study_2_11_6,R2R_borda,3.6272727272727274,8
case_study_2,11,6,case_study_2_11_6,Copeland,1.0,8
case_study_2,11,6,case_study_2_11_6,Borda,50.0,8
case_study_2,11,6,case_study_2_11_6,Mean,3.3636363636363638,8
case_study_2,11,6,case_study_2_11_6,Median,3.5,8
case_study_2,11,7,case_study_2_11_7,R2R_copeland,4.166363636363636,3
case_study_2,11,7,case_study_2_11_7,R2R_borda,4.536363636363636,4
case_study_2,11,7,case_study_2_11_7,Copeland,5.66,3
case_study_2,11,7,case_study_2_11_7,Borda,103.0,4
case_study_2,11,7,case_study_2_11_7,Mean,4.090909090909091,7
case_study_2,11,7,case_study_2_11_7,Median,4.0,2
case_study_2,11,8,case_study_2_11_8,R2R_copeland,4.136363636363637,4
case_study_2,11,8,case_study_2_11_8,R2R_borda,4.554545454545455,3
case_study_2,11,8,case_study_2_11_8,Copeland,5.0,4
case_study_2,11,8,case_study_2_11_8,Borda,107.0,3
case_study_2,11,8,case_study_2_11_8,Mean,4.181818181818182,4
case_study_2,11,8,case_study_2_11_8,Median,4.0,2
case_study_2,11,9,case_study_2_11_9,R2R_copeland,4.196818181818182,2
case_study_2,11,9,case_study_2_11_9,R2R_borda,4.627272727272727,2
case_study_2,11,9,case_study_2_11_9,Copeland,6.33,2
case_study_2,11,9,case_study_2_11_9,Borda,116.0,2
case_study_2,11,9,case_study_2_11_9,Mean,4.363636363636363,2
case_study_2,11,9,case_study_2_11_9,Median,4.0,2
case_study_2,12,1,case_study_2_12_1,R2R_copeland,4.238095238095238,5
case_study_2,12,1,case_study_2_12_1,R2R_borda,4.819047619047619,5
case_study_2,12,1,case_study_2_12_1,Copeland,5.0,5
case_study_2,12,1,case_study_2_12_1,Borda,99.0,5
case_study_2,12,1,case_study_2_12_1,Mean,4.333333333333333,3
case_study_2,12,1,case_study_2_12_1,Median,4.0,3
case_study_2,12,2,case_study_2_12_2,R2R_copeland,4.095238095238095,8
case_study_2,12,2,case_study_2_12_2,R2R_borda,4.542857142857143,8
case_study_2,12,2,case_study_2_12_2,Copeland,2.0,8
case_study_2,12,2,case_study_2_12_2,Borda,66.0,8
case_study_2,12,2,case_study_2_12_2,Mean,3.7142857142857144,8
case_study_2,12,2,case_study_2_12_2,Median,4.0,3
case_study_2,12,3,case_study_2_12_3,R2R_copeland,4.285714285714286,3
case_study_2,12,3,case_study_2_12_3,R2R_borda,4.847619047619047,3
case_study_2,12,3,case_study_2_12_3,Copeland,6.0,3
case_study_2,12,3,case_study_2_12_3,Borda,100.0,3
case_study_2,12,3,case_study_2_12_3,Mean,4.0476190476190474,7
case_study_2,12,3,case_study_2_12_3,Median,4.0,3
case_study_2,12,4,case_study_2_12_4,R2R_copeland,4.0476190476190474,9
case_study_2,12,4,case_study_2_12_4,R2R_borda,4.542857142857143,8
case_study_2,12,4,case_study_2_12_4,Copeland,1.0,9
case_study_2,12,4,case_study_2_12_4,Borda,65.0,9
case_study_2,12,4,case_study_2_12_4,Mean,3.7142857142857144,8
case_study_2,12,4,case_study_2_12_4,Median,4.0,3
case_study_2,12,5,case_study_2_12_5,R2R_copeland,4.190476190476191,6
case_study_2,12,5,case_study_2_12_5,R2R_borda,4.79047619047619,7
case_study_2,12,5,case_study_2_12_5,Copeland,4.0,6
case_study_2,12,5,case_study_2_12_5,Borda,93.0,7
case_study_2,12,5,case_study_2_12_5,Mean,4.190476190476191,4
case_study_2,12,5,case_study_2_12_5,Median,4.0,3
case_study_2,12,6,case_study_2_12_6,R2R_copeland,5.0476190476190474,1
case_study_2,12,6,case_study_2_12_6,R2R_borda,5.114285714285714,1
case_study_2,12,6,case_study_2_12_6,Copeland,9.0,1
case_study_2,12,6,case_study_2_12_6,Borda,145.0,1
case_study_2,12,6,case_study_2_12_6,Mean,4.714285714285714,1
case_study_2,12,6,case_study_2_12_6,Median,5.0,1
case_study_2,12,7,case_study_2_12_7,R2R_copeland,5.0,2
case_study_2,12,7,case_study_2_12_7,R2R_borda,5.085714285714285,2
case_study_2,12,7,case_study_2_12_7,Copeland,8.0,2
case_study_2,12,7,case_study_2_12_7,Borda,128.0,2
case_study_2,12,7,case_study_2_12_7,Mean,4.476190476190476,2
case_study_2,12,7,case_study_2_12_7,Median,5.0,1
case_study_2,12,8,case_study_2_12_8,R2R_copeland,4.190476190476191,6
case_study_2,12,8,case_study_2_12_8,R2R_borda,4.828571428571428,4
case_study_2,12,8,case_study_2_12_8,Copeland,4.0,6
case_study_2,12,8,case_study_2_12_8,Borda,100.0,3
case_study_2,12,8,case_study_2_12_8,Mean,4.142857142857143,5
case_study_2,12,8,case_study_2_12_8,Median,4.0,3
case_study_2,12,9,case_study_2_12_9,R2R_copeland,4.285714285714286,3
case_study_2,12,9,case_study_2_12_9,R2R_borda,4.809523809523809,6
case_study_2,12,9,case_study_2_12_9,Copeland,6.0,3
case_study_2,12,9,case_study_2_12_9,Borda,98.0,6
case_study_2,12,9,case_study_2_12_9,Mean,4.095238095238095,6
case_study_2,12,9,case_study_2_12_9,Median,4.0,3
case_study_2,12,10,case_study_2_12_10,R2R_copeland,4.0,10
case_study_2,12,10,case_study_2_12_10,R2R_borda,4.419047619047619,10
case_study_2,12,10,case_study_2_12_10,Copeland,0.0,10
case_study_2,12,10,case_study_2_12_10,Borda,51.0,10
case_study_2,12,10,case_study_2_12_10,Mean,3.5238095238095237,10
case_study_2,12,10,case_study_2_12_10,Median,4.0,3
case_study_2,13,1,case_study_2_13_1,R2R_copeland,5.01375,3
case_study_2,13,1,case_study_2_13_1,R2R_borda,5.266666666666667,3
case_study_2,13,1,case_study_2_13_1,Copeland,6.33,3
case_study_2,13,1,case_study_2_13_1,Borda,134.0,3
case_study_2,13,1,case_study_2_13_1,Mean,4.416666666666667,3
case_study_2,13,1,case_study_2_13_1,Median,5.0,1
case_study_2,13,2,case_study_2_13_2,R2R_copeland,5.01375,3
case_study_2,13,2,case_study_2_13_2,R2R_borda,5.241666666666666,4
case_study_2,13,2,case_study_2_13_2,Copeland,5.66,4
case_study_2,13,2,case_study_2_13_2,Borda,120.0,5
case_study_2,13,2,case_study_2_13_2,Mean,4.375,4
case_study_2,13,2,case_study_2_13_2,Median,5.0,1
case_study_2,13,3,case_study_2_13_3,R2R_copeland,4.13875,6
case_study_2,13,3,case_study_2_13_3,R2R_borda,4.566666666666666,6
case_study_2,13,3,case_study_2_13_3,Copeland,3.33,6
case_study_2,13,3,case_study_2_13_3,Borda,97.0,7
case_study_2,13,3,case_study_2_13_3,Mean,4.166666666666667,6
case_study_2,13,3,case_study_2_13_3,Median,4.0,5
case_study_2,13,4,case_study_2_13_4,R2R_copeland,4.055416666666667,9
case_study_2,13,4,case_study_2_13_4,R2R_borda,4.433333333333334,9
case_study_2,13,4,case_study_2_13_4,Copeland,1.33,9
case_study_2,13,4,case_study_2_13_4,Borda,70.0,9
case_study_2,13,4,case_study_2_13_4,Mean,3.6666666666666665,9
case_study_2,13,4,case_study_2_13_4,Median,4.0,5
case_study_2,13,5,case_study_2_13_5,R2R_copeland,5.083333333333333,2
case_study_2,13,5,case_study_2_13_5,R2R_borda,5.308333333333334,2
case_study_2,13,5,case_study_2_13_5,Copeland,8.0,2
case_study_2,13,5,case_study_2_13_5,Borda,136.0,2
case_study_2,13,5,case_study_2_13_5,Mean,4.458333333333333,2
case_study_2,13,5,case_study_2_13_5,Median,5.0,1
case_study_2,13,6,case_study_2_13_6,R2R_copeland,4.083333333333333,8
case_study_2,13,6,case_study_2_13_6,R2R_borda,4.483333333333333,8
case_study_2,13,6,case_study_2_13_6,Copeland,2.0,8
case_study_2,13,6,case_study_2_13_6,Borda,92.0,8
case_study_2,13,6,case_study_2_13_6,Mean,3.875,8
case_study_2,13,6,case_study_2_13_6,Median,4.0,5
case_study_2,13,7,case_study_2_13_7,R2R_copeland,4.208333333333333,5
case_study_2,13,7,case_study_2_13_7,R2R_borda,4.716666666666667,5
case_study_2,13,7,case_study_2_13_7,Copeland,5.33,5
case_study_2,13,7,case_study_2_13_7,Borda,127.0,4
case_study_2,13,7,case_study_2_13_7,Mean,4.291666666666667,5
case_study_2,13,7,case_study_2_13_7,Median,4.0,5
case_study_2,13,8,case_study_2_13_8,R2R_copeland,4.110833333333334,7
case_study_2,13,8,case_study_2_13_8,R2R_borda,4.541666666666667,7
case_study_2,13,8,case_study_2_13_8,Copeland,2.66,7
case_study_2,13,8,case_study_2_13_8,Borda,101.0,6
case_study_2,13,8,case_study_2_13_8,Mean,3.9583333333333335,7
case_study_2,13,8,case_study_2_13_8,Median,4.0,5
case_study_2,13,9,case_study_2_13_9,R2R_copeland,5.125,1
case_study_2,13,9,case_study_2_13_9,R2R_borda,5.383333333333334,1
case_study_2,13,9,case_study_2_13_9,Copeland,9.0,1
case_study_2,13,9,case_study_2_13_9,Borda,158.0,1
case_study_2,13,9,case_study_2_13_9,Mean,4.583333333333333,1
case_study_2,13,9,case_study_2_13_9,Median,5.0,1
case_study_2,13,10,case_study_2_13_10,R2R_copeland,4.0,10
case_study_2,13,10,case_study_2_13_10,R2R_borda,4.258333333333334,10
case_study_2,13,10,case_study_2_13_10,Copeland,0.0,10
case_study_2,13,10,case_study_2_13_10,Borda,45.0,10
case_study_2,13,10,case_study_2_13_10,Mean,3.3333333333333335,10
case_study_2,13,10,case_study_2_13_10,Median,4.0,5
case_study_2,14,1,case_study_2_14_1,R2R_copeland,4.142857142857143,6
case_study_2,14,1,case_study_2_14_1,R2R_borda,4.752380952380952,6
case_study_2,14,1,case_study_2_14_1,Copeland,3.0,6
case_study_2,14,1,case_study_2_14_1,Borda,83.0,6
case_study_2,14,1,case_study_2_14_1,Mean,4.0,6
case_study_2,14,1,case_study_2_14_1,Median,4.0,2
case_study_2,14,2,case_study_2_14_2,R2R_copeland,4.0476190476190474,8
case_study_2,14,2,case_study_2_14_2,R2R_borda,4.561904761904762,7
case_study_2,14,2,case_study_2_14_2,Copeland,1.0,8
case_study_2,14,2,case_study_2_14_2,Borda,61.0,7
case_study_2,14,2,case_study_2_14_2,Mean,3.761904761904762,7
case_study_2,14,2,case_study_2_14_2,Median,4.0,2
case_study_2,14,3,case_study_2_14_3,R2R_copeland,4.190476190476191,5
case_study_2,14,3,case_study_2_14_3,R2R_borda,4.771428571428571,4
case_study_2,14,3,case_study_2_14_3,Copeland,4.0,5
case_study_2,14,3,case_study_2_14_3,Borda,85.0,4
case_study_2,14,3,case_study_2_14_3,Mean,4.142857142857143,4
case_study_2,14,3,case_study_2_14_3,Median,4.0,2
case_study_2,14,4,case_study_2_14_4,R2R_copeland,4.238095238095238,4
case_study_2,14,4,case_study_2_14_4,R2R_borda,4.771428571428571,4
case_study_2,14,4,case_study_2_14_4,Copeland,5.0,4
case_study_2,14,4,case_study_2_14_4,Borda,85.0,4
case_study_2,14,4,case_study_2_14_4,Mean,4.0476190476190474,5
case_study_2,14,4,case_study_2_14_4,Median,4.0,2
case_study_2,14,5,case_study_2_14_5,R2R_copeland,4.0,9
case_study_2,14,5,case_study_2_14_5,R2R_borda,4.3619047619047615,9
case_study_2,14,5,case_study_2_14_5,Copeland,0.0,9
case_study_2,14,5,case_study_2_14_5,Borda,38.0,9
case_study_2,14,5,case_study_2_14_5,Mean,3.5714285714285716,9
case_study_2,14,5,case_study_2_14_5,Median,4.0,2
case_study_2,14,6,case_study_2_14_6,R2R_copeland,4.285714285714286,3
case_study_2,14,6,case_study_2_14_6,R2R_borda,4.876190476190477,3
case_study_2,14,6,case_study_2_14_6,Copeland,6.0,3
case_study_2,14,6,case_study_2_14_6,Borda,97.0,3
case_study_2,14,6,case_study_2_14_6,Mean,4.190476190476191,3
case_study_2,14,6,case_study_2_14_6,Median,4.0,2
case_study_2,14,7,case_study_2_14_7,R2R_copeland,4.333333333333333,2
case_study_2,14,7,case_study_2_14_7,R2R_borda,4.980952380952381,2
case_study_2,14,7,case_study_2_14_7,Copeland,7.0,2
case_study_2,14,7,case_study_2_14_7,Borda,107.0,2
case_study_2,14,7,case_study_2_14_7,Mean,4.333333333333333,2
case_study_2,14,7,case_study_2_14_7,Median,4.0,2
case_study_2,14,8,case_study_2_14_8,R2R_copeland,5.0,1
case_study_2,14,8,case_study_2_14_8,R2R_borda,5.0,1
case_study_2,14,8,case_study_2_14_8,Copeland,8.0,1
case_study_2,14,8,case_study_2_14_8,Borda,141.0,1
case_study_2,14,8,case_study_2_14_8,Mean,4.761904761904762,1
case_study_2,14,8,case_study_2_14_8,Median,5.0,1
case_study_2,14,9,case_study_2_14_9,R2R_copeland,4.095238095238095,7
case_study_2,14,9,case_study_2_14_9,R2R_borda,4.523809523809524,8
case_study_2,14,9,case_study_2_14_9,Copeland,2.0,7
case_study_2,14,9,case_study_2_14_9,Borda,59.0,8
case_study_2,14,9,case_study_2_14_9,Mean,3.7142857142857144,8
case_study_2,14,9,case_study_2_14_9,Median,4.0,2
case_study_2,15,1,case_study_2_15_1,R2R_copeland,4.15,6
case_study_2,15,1,case_study_2_15_1,R2R_borda,4.58,6
case_study_2,15,1,case_study_2_15_1,Copeland,4.33,5
case_study_2,15,1,case_study_2_15_1,Borda,100.0,5
case_study_2,15,1,case_study_2_15_1,Mean,4.45,4
case_study_2,15,1,case_study_2_15_1,Median,4.0,6
case_study_2,15,2,case_study_2_15_2,R2R_copeland,4.0,9
case_study_2,15,2,case_study_2_15_2,R2R_borda,4.18,9
case_study_2,15,2,case_study_2_15_2,Copeland,1.0,9
case_study_2,15,2,case_study_2_15_2,Borda,46.0,9
case_study_2,15,2,case_study_2_15_2,Mean,3.9,9
case_study_2,15,2,case_study_2_15_2,Median,4.0,6
case_study_2,15,3,case_study_2_15_3,R2R_copeland,5.0,3
case_study_2,15,3,case_study_2_15_3,R2R_borda,5.16,4
case_study_2,15,3,case_study_2_15_3,Copeland,3.33,6
case_study_2,15,3,case_study_2_15_3,Borda,96.0,6
case_study_2,15,3,case_study_2_15_3,Mean,4.45,4
case_study_2,15,3,case_study_2_15_3,Median,5.0,1
case_study_2,15,4,case_study_2_15_4,R2R_copeland,4.7,5
case_study_2,15,4,case_study_2_15_4,R2R_borda,5.14,5
case_study_2,15,4,case_study_2_15_4,Copeland,6.33,3
case_study_2,15,4,case_study_2_15_4,Borda,114.0,3
case_study_2,15,4,case_study_2_15_4,Mean,4.5,3
case_study_2,15,4,case_study_2_15_4,Median,4.5,4
case_study_2,15,5,case_study_2_15_5,R2R_copeland,5.05,2
case_study_2,15,5,case_study_2_15_5,R2R_borda,5.21,3
case_study_2,15,5,case_study_2_15_5,Copeland,5.99,4
case_study_2,15,5,case_study_2_15_5,Borda,113.0,4
case_study_2,15,5,case_study_2_15_5,Mean,4.55,2
case_study_2,15,5,case_study_2_15_5,Median,5.0,1
case_study_2,15,6,case_study_2_15_6,R2R_copeland,3.0,10
case_study_2,15,6,case_study_2_15_6,R2R_borda,3.0,10
case_study_2,15,6,case_study_2_15_6,Copeland,0.0,10
case_study_2,15,6,case_study_2_15_6,Borda,11.0,10
case_study_2,15,6,case_study_2_15_6,Mean,3.4,10
case_study_2,15,6,case_study_2_15_6,Median,3.0,10
case_study_2,15,7,case_study_2_15_7,R2R_copeland,5.1,1
case_study_2,15,7,case_study_2_15_7,R2R_borda,5.23,1
case_study_2,15,7,case_study_2_15_7,Copeland,8.0,2
case_study_2,15,7,case_study_2_15_7,Borda,120.0,2
case_study_2,15,7,case_study_2_15_7,Mean,4.65,1
